Player Name,Team,PPG (regular season),Team Seed,Team KenPom,Adj. O (KenPom),Adj. D (KenPom),,Total Points in Tourney,Total GP in Tourney
T.Proctor,Duke!!!,9.4,5,18,113.2,93.9,,23,2
O.Tshiebwe,Kentucky,16.5,6,27,116.2,98.8,,33,2
A.Reeves,Kentucky,14.4,6,27,116.2,98.8,,27,2
J.Toppin,Kentucky,12.4,6,27,116.2,98.8,,20,2
M.Miles Jr,TCU,17.9,6,25,112.1,94.3,,50,2
D.Baugh,TCU,12.6,6,25,112.1,94.3,,26,2
E.Miller,TCU,12.3,6,25,112.1,94.3,,22,2
J.Holmes,Iowa St. ,13.3,6,29,108.1,91,,12,1
G.Kalscheur,Iowa St. ,12.9,6,29,108.1,91,,12,1
C. Grill,Iowa St. ,9.5,6,29,108.1,91,,0,0
R.Kalkbrenner,Creighton,15.9,6,12,115,93.2,,80,4
T.Alexander,Creighton,13.6,6,12,115,93.2,,53,4
B.Scheirman,Creighton,12.8,6,12,115,93.2,,60,4
K. Brown,Missouri,15.8,7,57,118.3,105.3,,31,2
D.Hodge,Missouri,14.7,7,57,118.3,105.3,,25,2
D.Gholston,Missouri,10.9,7,57,118.3,105.3,,30,2
W. Taylor I,Texas A&M,16.3,7,33,113.7,97,,10,1
T. Radford ,Texas A&M,13.3,7,33,113.7,97,,14,1
D. Dennis ,Texas A&M,9.5,7,33,113.7,97,,19,1
T. Walker,Michigan St,14.8,7,26,114.2,96.6,,51,3
J. Hauser ,Michigan St,14.4,7,26,114.2,96.6,,49,3
A.J. Hoggard,Michigan St,12.9,7,26,114.2,96.6,,49,3
B.Buie,Northwestern,17.3,7,38,109.9,94.3,,40,2
C.Audige,Northwestern,14.1,7,38,109.9,94.3,,36,2
T.Berry,Northwestern,8.5,7,38,109.9,94.3,,16,2
K.Davis,Memphis,21.9,8,20,114.6,96.1,,16,1
D.Wiliiams,Memphis,17.7,8,20,114.6,96.1,,13,1
K.Kennedy,Memphis,9.2,8,20,114.6,96.1,,0,0
J. Young,Maryland,15.8,8,23,113.5,95.6,,22,2
J. Reese,Maryland,11.4,8,23,113.5,95.6,,31,2
H. Hart,Maryland,11.4,8,23,113.5,95.6,,19,2
K. Murray,Iowa ,20.2,8,41,120,104.6,,15,1
F.Rebraca,Iowa ,14.1,8,41,120,104.6,,14,1
T.Perkins,Iowa ,12.3,8,41,120,104.6,,8,1
R.Council IV,Arkansas,16.1,8,22,112.1,94,,56,3
A.Black,Arkansas,12.8,8,22,112.1,94,,36,3
N.Smith Jr,Arkansas,12.5,8,22,112.1,94,,17,3
T.Shannon Jr,Illionois,17.2,9,35,111.1,94.9,,20,1
M.Mayer,Illinois ,12.5,9,35,111.1,94.9,,2,1
C.Hawkins,Illinois ,9.9,9,35,111.1,94.9,,10,1
J.Broome,Auburn,14.2,9,32,112.5,95.7,,33,2
W.Green Jr,Auburn,13.7,9,32,112.5,95.7,,24,2
J.Williams,Auburn,11.2,9,32,112.5,95.7,,25,2
E.Stevenson,West Virginia,15.4,9,19,116.9,98.1,,9,1
K.Johnson,West Virginia,11.7,9,19,116.9,98.1,,27,1
T.Mitchell,West Virginia,11.7,9,19,116.9,98.1,,13,1
J.Davis,Fla Atlantic,18.3,9,17,115.1,95.7,,77,5
V.Goldin,Fla Atlantic,14.9,9,17,115.1,95.7,,36,5
A.Martin,Fla Atlantic,13.6,9,17,115.1,95.7,,76,5
B.Ellis,USC,17.7,10,45,112.3,97.5,,6,1
D.Peterson,USC,13.9,10,45,112.3,97.5,,11,1
R.Waters,USC,9.8,10,45,112.3,97.5,,10,1
S.Ashworth,Utah ST,16.2,10,28,116.3,98.9,,16,1
T.Funk,Utah ST,13.4,10,28,116.3,98.9,,12,1
D.Akin,Utah ST,12,10,28,116.3,98.9,,10,1
J.Pickett,Penn St,17.7,10,36,117.2,101.1,,30,2
S.Lundy,Penn St,14.2,10,36,117.2,101.1,,21,2
A.Funk,Penn St,12.5,10,36,117.2,101.1,,39,2
T.Degenhart,Boise St,14.1,10,37,110.9,95.1,,8,1
T.Smith,NC State,17.9,11,52,113.6,100,,32,1
J.Joiner,NC State,17,11,52,113.6,100,,13,1
D.Burns Jr,NC State,12.5,11,52,113.6,100,,2,1
B.Hopkins,Providence,15.8,11,40,116.2,100.8,,7,1
E.Croswell,Providence,13.3,11,40,116.2,100.8,,16,1
D.Carter,Providence,13,11,40,116.2,100.8,,10,1
D.Cambridge Jr,Arizona St,13.6,11,55,109,95.8,,10,1
M.Bagley ,Arizona St,12.5,11,55,109,95.8,,0,0
D.Horne,Arizona St,12.5,11,55,109,95.8,,17,1
B.Hinson,Pittsburgh,15.3,11,59,114.2,101.3,,23,2
J.Burton,Pittsburgh,15.2,11,59,114.2,101.3,,27,2
N.Cummings,Pittsburgh,11.1,11,59,114.2,101.3,,22,2
Dalton Bolon,Col. of Charleston,12.2,12,71,110.6,98.7,,11,1
Ante Brzovic,Col. of Charleston,11.6,12,71,110.6,98.7,,12,1
Reyne Smith,Col. of Charleston,10.8,12,71,110.6,98.7,,7,1
T. DeVries,Drake,18.6,12,69,108.4,96.5,,3,1
R.Penn,Drake,12.6,12,69,108.4,96.5,,11,1
G.Sturtz,Drake,9.3,12,69,108.4,96.5,,2,1
A.Baldwin Jr,VCU,12.7,12,60,106.6,93.8,,13,1
B.Johns Jr,VCU,11.6,12,60,106.6,93.8,,7,1
J. Loach,VCU,9.7,12,60,106.6,93.8,,1,1
S.Carry,Kent St.,17.5,12,78,107.7,96.5,,15,1
M.Jacobs,Kent St.,12.8,12,78,107.7,96.5,,8,1
W.Clayton Jr,Iona,16.8,13,76,110.7,99.4,,15,1
D.Jenkins,Iona,15.6,13,76,110.7,99.4,,14,1
K.Julien,Louisiana,17.4,13,88,111.4,102.9,,15,1
H.Kitenge,Louisiana,11.8,13,88,111.4,102.9,,0,0
M.Bothwell,Furman,17.7,13,92,113.5,105.5,,26,2
J.Slawson,Furman,15.6,13,92,113.5,105.5,,27,2
A.Mitchell,UC Santa Barbara,16.3,14,112,110.3,104.6,,13,1
M.Norris,UC Santa Barbara,14.1,14,112,110.3,104.6,,15,1
C.YoungBlood,Kennesaw St,14.7,14,123,105.9,101.8,,14,1
T.Burden,Kennesaw St,13.5,14,123,105.9,101.8,,14,1
,,,,,,,,,
,,,,,,,,,
R.Harrison,Grandcanyon,17.8,14,108,111.9,106.1,,20,1
G.McGlothan,Grandcanyon,12.8,14,108,111.9,106.1,,11,1
R. Ford III,Montana St,15.3,14,113,105.1,99.6,,1,1
B.Walker,Montana St,13.9,14,113,105.1,99.6,,0,0
T.Richardson,Colgate,13.7,15,115,112.7,107.5,,9,1
K.Records,Colgate,13,15,115,112.7,107.5,,13,1
D. Pember,UNC Asheville,20.3,15,148,104,102.7,,13,1
J. Banks,UNC Asheville,13.4,15,148,104,102.7,,0,0
D. Penn,Vermont,13.4,15,114,109.5,104.2,,11,1
F.Sullivan,Vermont,11.7,15,114,109.5,104.2,,4,1
T. Evbuomwan,Princeton,15.1,15,91,109.5,101.5,,48,3
R. Langborg,Princeton,12.7,15,91,109.5,101.5,,56,3
M.Warrick,Northern Ky,18.8,16,160,102.8,102.2,,9,1
S.Vinson,Northern Ky,11.8,16,160,102.8,102.2,,15,1
E.Hawkins,Howard,12.9,16,218,103.5,106.9,,12,1
S.Settle III,Howard,11.1,16,218,103.5,106.9,,13,1
D.Roberts,FDU,16.6,16,265,106.7,115.1,,32,2
G.Singleton,FDU,13.9,16,265,106.7,115.1,,14,2
T.Tennyson,A&M-Corpus Christi,15.7,16,176,107.1,107.6,,20,1
I.Mushila,A&M-Corpus Christi,14.5,16,176,107.1,107.6,,16,1
